 none 	nice 
 none 	o_k 
 none 	to   to handle 
 none 	is that good 
 none 	right 
 none 	yeah  i ve have never handled them 
 none 	goats eat cans  to my understanding 
 none 	did we need to do these things 
 none 	tin cans 
 none 	you don t need to read the digits if we think that that s torture but the reason these are out there is do put your name on it because it s the only record i have of actually who was sitting there 
 none 	wow  
 none 	o_k 
 none 	um  your name and some but it  
 none 	o_k  you should be in play  
 none 	and we can   you can flip this and uh get rid of the screen but
 none 	could i hit   hit f_seven to do that  on the  
 none 	the uh   the   the remote
 none 	robert 
 none 	oh  the remote will do it o_k  cuz i m already up there 
 none 	o_k 
 none 	i m in control here 
 create_single_reminder 	o_k  have a great meeting  i ll   i ll come back up in about an hour and check and see if you re still meeting  
 none 	you are in control 
 none 	all ready 
 none 	wow  we re all so high tech here  yet another p  powerpoint presentation 
 none 	i   well it makes it easier to do powerpoint 
 none 	certainly does 
 none 	so  we were   ah 
 none 	johno  where are you 
 none 	o_k 
 none 	so 
 none 	let s see  which one of these buttons will do this for me 
 none 	aha  o_k 
 none 	should you go back to the first one 
 none 	well  
 none 	do i wanna go back to the first one  o_k 
 none 	i m sorry i  
 none 	well  i mean  just to  
 none 	o_k  introduce 
 none 	o_k 
 none 	yeah  um  well   the search for the middle layer   it s basically uh talks about uh   it just refers to the fact that uh one of main things we had to do was to decide what the intermediate sort of nodes were  you know  because  
 none 	i can read  i m kidding 
 none 	mm hmm 
 none 	but if you really want to find out what it s about you have to click on the little light bulb 
 search 	although i ve   i ve never    i don t know  what the light bulb is for    i didn t i  install that into my  powerpoint presentation  
 none 	it opens the assistant that tells you that the font type is too small 
 none 	ah 
 none 	do you wanna try 
 none 	ach u 
 none 	i d prefer not to 
 none 	o_k 
 none 	continue 
 none 	it s a needless good idea  is that the idea  o_k 
 none 	why are you doing this in this mode and not in the presentation mode 
 none 	because i m gonna switch to the javabayes program and then if i do that it ll mess everything up 
 none 	oh  o_k  of course  mm hmm 
 none 	i was wondering 
 none 	is that o_k 
 none 	yeah  it s o_k 
 none 	sure 
 open_setting 	can you maximize the window  
 none 	proceed 
 none 	you want me to   wait  what do you want me to do 
 open_setting 	can you maximize the window so all that stuff on the side isn t   doesn t appear 
 none 	no  it s o_k  it s   it ll work  
 none 	well i can do that  but then i have to end the presentation in the middle so i can go back to open up javabayes 
 none 	o_k  fine 
 none 	here  let s see if i can  
 none 	alright 
 none 	very nice 
 none 	is that better 
 none 	yeah 
 none 	o_k 
 none 	uh   i ll also get rid of this  click to add notes  
 none 	o_k 
 none 	perfect 
 none 	so then the features we decided   or we decided we were   talked about  right 
 none 	uh the   the prosody  the discourse  verb choice  you know  we had a list of things like
 none 	 to go  and  to visit  and what not 
 none 	the  landmark iness  of uh  
 none 	i knew you d like that 
 none 	nice coinage 
 none 	thank you  uh  of a   of a building 
 none 	whether the  and this i  we actually have a separate feature but i decided to put it on the same line for space 
 none 	 nice walls  which we can look up because i mean if you re gonna get real close to a building in the tango mode  right  there s gotta be a reason for it 
 none 	and it s either because you re in route to something else or you wanna look at the walls 
 none 	the context  which in this case we ve limited to  business person    tourist   or  unknown   the time of day  and  open to suggestions   isn t actually a feature 
 none 	it s  we are open to suggestions  
 none 	right  can i just ask the nice walls part of it is that uh  in this particular domain   you said   be   i  it could be on two different lines but are you saying that in this particular domain it happens the   that landmark iness cor  is correlated with their being nice w  o_k 
 none 	no  we have a separate feature 
 none 	oh  
 none 	they re separate things 
 none 	yeah  i either could put  nice walls  on its own line or  open to suggestions  off the slide 
 none 	and   and  
 none 	like you could have a p 
 none 	by  nice  you mean  
 none 	you   like you could have a post office with uh   you know  nice murals or something 
 none 	right 
