 none 	o_k  so we re live 
 none 	o_k 
 none 	are we live or are we memorex 
 none 	we re somewhere in between  o_k  so we have some sheets for uh some standard doohickies to  
 none 	o_k  so that s
 none 	wait 
 none 	right  so 
 none 	you re going to sit there 
 none 	is that alright 
 none 	yeah  o_k  maybe i ll put this thing here then 
 none 	o_k 
 none 	o_k  so this is february second  eh  two thousand  this is eh meeting number one with adam and dan and morgan  about five o clock uh in the afternoon 
 none 	a range of microphones 
 none 	yeah 
 none 	what s this one here  this   this one is   has a couple of cheezy electrettes and  
 none 	yeah  that s   that s the dummy   dummy p_d_a 
 none 	that s connected too  or    
 none 	yep 
 none 	yeah  it is 
 none 	that s connected 
 none 	it s got two   to both channels 
 none 	yeah  both channels 
 none 	oh  hang on 
 none 	yeah 
 none 	yeah  it is at the moment 
 none 	o_k 
 none 	yep 
 none 	o_k 
 none 	this is  
 none 	although the gain is pretty low 
 none 	so for the um read numbers task 
 none 	mm hmm 
 none 	hang on  let s   let s  
 none 	i have extracted these  
 none 	o_k let s just   let s just name the microphones 
 none 	o_k 
 none 	so i m speaking on the ear mounted uh wired headset thing 
 none 	o_k 
 none 	right and i m now talking on microphone number two  uh  the wireless microphone number two 
 none 	yeah 
 none 	um  i have no idea which one i m   i m on  oh one  oh  i m number one 
 none 	i m  
 none 	you re on one 
 none 	absolutely 
 none 	o_k  which is a   a l  a lapel  in fact it s sticking through my lapel 
 none 	yes 
 none 	o_k so this is   this is the p_z_m nearest the eh eh the machine room end of the table 
 none 	actually  i 
 none 	then there s   i know  but yeah  it s number three  it says  but we ll be able to figure it out  this is at the middle of the table
 none 	this further down the table 
 none 	and this   this one is right at the end of the table  o_k 
 none 	and then we ve got the uh  
 none 	this is the left side of the dummy p_d_a and this would be the right side 
 none 	i think listening to this is gonna be like watching somebody s home movies 
 none 	yes  it ll be pretty horrible 
 none 	yeah  o_k 
 none 	very exciting 
 none 	so  what i have on these forms here is for the read numbers   read digits tasks and it s extracted directly from aurora and uh  
 none 	so what i was thinking is we could start just by filling it out and then reading   reading the numbers on the form 
 none 	o_k  what do we do with the stuff on top 
 none 	fill it out 
 none 	but i  
 none 	do we say it after we  
 none 	no  just write it down 
 none 	no  you don t need to 
 none 	what are we   why are we writing it down 
 none 	so that when we transcribe the data we can figure out who said it and their gender and the date and the time and what mike they were on and all that sort of thing 
 none 	oh 
 none 	o_k
 none 	that s good  so i don t need to fill that out right now  so maybe we should just say it 
 none 	w 
 none 	o_k 
 none 	why don t you want to fill it out right now  just so that  
 none 	so then we re not spending the time writing it out  so that we re spending the time talking 
 none 	well  how about you give me one of those and we can fill it out and morgan can read and then we can do it like that 
 none 	i m just uh concerned about a bunch of dead time while we all sit here and fill out the things 
 none 	o_k 
 none 	yeah  yeah  yeah 
 none 	right 
 none 	and so you have to be sure to pause between each line  since we re going to be segmenting it and then doing it that way 
 none 	oh 
 none 	right 
 none 	o_k  so this is morgan  i m going to read some numbers now  one two three zero eight two five two one zero nine six three seven five eight six zero one one six two nine
 none 	o_ o_ two o_ six  
 none 	whoops that s a mistake  disfluency  scratch  start over 
 none 	o_ o_ two one six four one zero zero seven zero four
 none 	that s my group 
 none 	o_k  so  adam janin next  uh transcript number two on a wireless headset number two  two seven o_ three six seven four five seven one nine zero eight five nine eight zero seven four three seven
 none 	o_ zero nine nine five one
 none 	o_k  this is dan on the uh wired headset  transcript number one  two one four eight three eight eight four three o_ six five seven one five five two seven six seven eight
 none 	o_ three o_ zero two one five one eight
 none 	so i definitely wasn t pausing enough between them 
 none 	this is   these are things we will find out 
 none 	that ll be an issue 
 none 	yep 
 none 	yeah  i don t know if i said mine was transcript zero  but it was 
 none 	mm hmm 
 none 	oh  good 
 none 	o_k 
 none 	o_k 
 none 	that s a little bit 
 none 	can i have something to write on the back of 
 none 	so  so where are we in this  let s see  so we now   we now have a few mikes that work  how long did it take you to set this up 
 none 	thanks 
 none 	oh  it didn t   doesn t take   well  i mean as you see we haven t really set it up that well  but it doesn t   it doesn t take long to set up  i mean 
 none 	we just came up here one night after recording so it took like twenty minutes something like that 
