 none 	o_k 
 none 	oh  i don t  
 none 	i think i m zero 
 none 	wow 
 none 	ah 
 none 	hello  hello  hello  hello 
 none 	wh  what causes the crash 
 none 	unprecedented 
 none 	did you fix something 
 none 	hello 
 none 	five  five 
 none 	oh  maybe it s the turning   turning off and turning on of the mike  right 
 none 	hello  hello 
 none 	uh  you think that s you 
 none 	yeah  o_k  mine s working 
 none 	aaa aaa aaa  o_k  that s me 
 none 	oh 
 none 	o_k 
 none 	o_k  so  um i guess we are um gonna do the digits at the end 
 none 	uh
 none 	channel   channel three  yeah  o_k 
 none 	mmm  channel five 
 none 	channel two 
 none 	doesn t work 
 none 	two 
 none 	yeah  that s the mike number there  uh
 none 	no 
 none 	is it written on her sheet  i believe 
 none 	mike four 
 none 	watch this  yep  that s me 
 none 	uh  mike number five  and channel   channel four 
 none 	ah  era el cuatro  yeah 
 none 	but  channel
 none 	yeah yeah yeah 
 none 	this is you 
 none 	o_k  i saw that 
 none 	ah   yeah  it s o_k 
 none 	yeah 
 none 	and i m channel uh two i think  or channel  
 none 	ooo 
 none 	i think i m channel two 
 none 	oh  i m channel   must be channel one  channel one  yes  o_k 
 none 	channel  
 none 	o_k  so uh
 find_email 	i also copied uh the results that we all got in the mail i think from uh   from  o_g_i  and we ll go   go through them also  
 none 	so where are we on   on uh our runs 
 none 	uh so  uh   we   so as i was already said  we   we mainly focused on
 none 	uh four kind of features  the p_l_p  the p_l_p with j_rasta  the m_s_g  and the m_f_c_c from the baseline aurora 
 none 	excuse me 
 none 	i decided to talk about that 
 none 	mm hmm 
 none 	uh  and we focused for the   the test part on the english and the italian 
 none 	um  we ve trained uh several neural networks on   so   on the t_i digits english and on the italian data and also on the broad uh english uh french and uh spanish databases 
 none 	mmm  so there s our result tables here  for the tandem approach  and um  actually what we   we  observed is that if the network is trained on the task data it works pretty well 
 none 	i can t get back far enough 
 none 	chicken on the grill 
 none 	o_k  our   our uh  
 none 	there s a   we re pausing for a photo  
 none 	sorry  guys 
 none 	try that corner 
 none 	how about over th  from the front of the room 
 none 	yeah  it s longer 
 none 	we re pausing for a photo opportunity here  uh 
 none 	uh 
 none 	so 
 none 	oh wait wait wait wait wait  wait  hold on  hold on  let me give you a black screen 
 none 	get out of the   yeah 
 none 	o_k 
 none 	one more 
 none 	he s facing this way 
 none 	because we said we were gonna do this and i just remembered 
 none 	what 
 none 	o_k  this   this would be a good section for our silence detection 
 none 	o_k 
 none 	um
 none 	mm hmm 
 none 	musical chairs everybody 
 none 	oh 
 none 	o_k 
 none 	so um  you were saying about the training data  
 none 	yeah  so if the network is trained on the task data um tandem works pretty well  and uh actually we have uh  results are similar
 none 	yeah 
 none 	do you mean if it s trained only on  
 none 	only on  yeah 
 none 	on data from just that task  that language 
 none 	just that task 
 none 	but actually we didn t train network on uh both types of data i mean uh phonetically ba  phonetically balanced uh data and task data 
 none 	we only did either task   task data or uh broad data 
 none 	mmm 
 none 	mm hmm 
 none 	um
 none 	yeah  so 
 none 	so how   i mean   clearly it s gonna be good then but the question is how much worse is it if you have broad data 
 none 	so what s th 
 none 	i mean  my assump 
 none 	from what i saw from the earlier results  uh i guess last week  was that um  if you trained on one language and tested on another  say  that the results were   were relatively poor 
 none 	mmm  yeah 
 none 	but   but the question is if you train on one language but you have a broad coverage and then test in another  does that   is that improve things i  c  in comparison 
 none 	if we use the same language 
 none 	no  no  no 
 none 	different lang 
 none 	so um
 none 	if you train on t_i digits and test on italian digits  you do poorly  let s say 
 none 	mm hmm 
 none 	i don t have the numbers in front of me  so i m just imagining 
 none 	but  
 none 	yeah but i did not uh do that  we  
 none 	e 
 none 	so  you didn t train on timit and test on   on italian digits  say 
 none 	no  we did four   four kind of   of testing  actually 
 none 	the first testing is with task data  
 none 	so  with nets trained on task data 
 none 	so for italian on the italian speech   
 none 	the second test is trained on a single language um with broad database  but the same language as the t  task data 
 none 	o_k 
 none 	but for italian we choose spanish which we assume is close to italian 
 none 	the third test is by using  um the three language database and the fourth is
 none 	w  which in   it has three languages  that s including the w  the   the   the one that it s  
 none 	this includes  
 none 	yeah 
 none 	but not digits  i mean it s  
 none 	in 
 none 	right 
 none 	the three languages is not digits  it s the broad data  o_k 
 none 	yeah
 none 	and the fourth test is uh excluding from these three languages the language that is the task language 
 none 	oh  o_k  yeah  so  that is what i wanted to know 
 none 	yeah 
 none 	i just wasn t saying it very well  i guess 
 none 	uh  yeah 
 none 	so um for uh t_i digits for ins  example uh when we go from t_i digits training to timit training uh we lose uh around ten percent  uh 
 none 	relative 
 none 	the error rate increase u  of   of   of ten percent  relative 
 none 	right 
 none 	so this is not so bad  and then when we jump to the multilingual data it s uh it become worse and  well
 none 	ab  about how much 
 none 	around uh  let s say  twenty perc  twenty percent further  so  yeah 
 none 	twenty percent further 
 none 	twenty to   to thirty percent further  yeah 
 none 	and so  remind me  the multilingual stuff is just the broad data  right 
 none 	yeah 
 none 	it s not the digits  so it s the combination of two things there 
 none 	it s removing the task specific training and it s adding other languages 
 none 	yeah 
 none 	yeah 
 none 	o_k 
 none 	but the first step is al  already removing the task s  specific from   from  
 none 	already  right right right 
 none 	so  and we lose  
 none 	so they were sort of building here  o_k 
 none 	yeah 
 none 	uh so  basically when it s trained on the   the multilingual broad data um or number   so  the   the ratio of our error rates uh with the baseline error rate is around uh one point one 
 none 	so 
 none 	yes 
 none 	and it s something like one point three of   of the uh  
 none 	i  i  if you compare everything to the first case at the baseline  you get something like one point one for the   for the using the same language but a different task  and something like one point three for three   three languages broad stuff 
 none 	no no no 
 none 	uh same language we are at uh   for at english at o_ point eight 
 none 	so it improves  compared to the baseline 
 none 	but  
 none 	so  le  let me 
 none 	i   i   i m sorry  i   i   i meant something different by baseline
 none 	tas  task data we are u 
 none 	yeah 
 none 	so let me   let me  
 none 	um  so  um  
 none 	mmm 
 none 	o_k  fine  let s   let s use the conventional meaning of baseline  i   i  
 none 	hmm 
 none 	by baseline here i meant uh using the task specific data 
 none 	oh yeah  the f 
 none 	yeah  o_k  yeah 
 none 	but uh   uh  because that s what you were just doing with this ten percent 
 none 	so i was just   i just trying to understand that  so if we call a factor of w  just one  just normalized to one  the word error rate that you have for using t_i digits as   as training and t_i digits as test  uh different words  i m sure  but   but uh  uh the same task and so on 
 none 	yeah  sure 
 none 	mmm 
 none 	mm hmm 
 none 	if we call that  one   then what you re saying is that the word error rate for the same language but using uh different training data than you re testing on  say timit and so forth  it s one point one 
 none 	mm hmm 
 none 	mm hmm 
 none 	yeah  it s around one point one  yeah 
 none 	right 
 none 	and if it s   you do go to three languages including the english  it s something like one point three 
 none 	ye 
 none 	that s what you were just saying  i think 
 none 	uh  more actually  if i  
 none 	one point four 
 none 	yeah 
 none 	so  it s an additional thirty percent 
 none 	what would you say  around one point four yeah 
 none 	o_k 
 none 	and if you exclude english  from this combination  what s that 
 none 	if we exclude english  um there is not much difference with the data with english 
 none 	aha 
 none 	so 
 none 	yeah 
 none 	that s interesting 
 none 	that s interesting 
 none 	do you see  because  
 none 	uh 
 none 	uh  so  
 none 	no  that   that s important  so what   what it s saying here is just that  yes  there is a reduction in performance  when you don t um have the s  when you don t have um
 none 	task data 
 none 	wait a minute  th  th  the  
 none 	hmm 
 none 	no  actually it s interesting  so it s  
 none 	so when you go to a different task  there s actually not so different  it s when you went to these  
 none 	so what s the difference between two and three 
 none 	between the one point one case and the one point four case  i m confused 
 none 	it s multilingual 
 none 	yeah  the only difference it s   is that it s multilingual  
 none 	um yeah 
 none 	cuz in both   in both   both of those cases  you don t have the same task 
 none 	yeah sure 
 none 	so is   is the training data for the   for this one point four case   does it include the training data for the one point one case 
 none 	uh yeah 
 none 	yeah  a fraction of it 
 none 	a part of it  yeah 
 none 	how m  how much bigger is it 
 none 	um
 none 	yeah  um 
 none 	it s two times  actually  yeah 
 none 	um 
 none 	the english data  
 none 	no  the multilingual databases are two times the broad english data 
 none 	we just wanted to keep this  w  well  not too huge  so 
 none 	so it s two times  but it includes the   but it includes the broad english data 
 none 	i think so  do you  
 none 	uh 
 none 	yeah 
 none 	and the broad english data is what you got this one point one with  so that s timit basically right 
 none 	mm hmm 
 none 	yeah 
 none 	so it s band limited timit 
 none 	mm hmm 
 none 	mm hmm 
 none 	this is all eight kilohertz sampling 
 none 	yeah 
 none 	downs 
 none 	right 
 none 	so you have band limited timit  gave you uh almost as good as a result as using t_i  digits on a t_i digits test 
 none 	o_k 
 none 	hmm 
 none 	um and um
 none 	but  when you add in more training data but keep the neural net the same size  it um performs worse on the t_i digits 
 none 	o_k  now all of this is  
 none 	this is noisy t_i digits  i assume 
 none 	yep 
 none 	both training and test 
 none 	yeah  o_k 
 none 	um
 none 	o_k 
 none 	well 
 none 	we   we   we may just need to uh  
 none 	so i mean it s interesting that h  going to a different   different task didn t seem to hurt us that much  and going to a different language um
 none 	it doesn t seem to matter  
 none 	the difference between three and four is not particularly great  so that means that whether you have the language in or not is not such a big deal 
 none 	mmm 
 none 	it sounds like um uh we may need to have more of uh things that are similar to a target language or   i mean 
 none 	you have the same number of parameters in the neural net  you haven t increased the size of the neural net  and maybe there s just   just not enough complexity to it to represent the variab  increased variability in the   in the training set 
 none 	that   that could be 
 none 	um
 none 	so  what about  
 none 	so these are results with uh th  that you re describing now  that they are pretty similar for the different features or   or uh  
 none 	uh  let me check  uh 
 none 	so  this was for the p_l_p 
 none 	yeah 
 none 	um  the   yeah  for the p_l_p with j_rasta the   the   we  
 none 	yeah 
 none 	this is quite the same tendency  with a slight increase of the error rate  uh if we go to   to timit 
 none 	and then it s   it gets worse with the multilingual 
 none 	um 
 none 	yeah  there   there is a difference actually with   b  between p_l_p and j_rasta is that
 none 	j_rasta seems to perform better with the highly mismatched condition but slightly   slightly worse for the well matched condition 
 none 	mmm 
 none 	i have a suggestion  actually  even though it ll delay us slightly  would   would you mind running into the other room and making copies of this  cuz we re all sort of  
 none 	yeah  yeah 
 none 	if we c  if we could look at it  while we re talking  i think it  d be uh  
 none 	o_k 
 none 	uh  i ll   i ll sing a song or dance or something while you do it  too 
 none 	alright 
 none 	so um   go ahead  ah  while you re gone i ll ask s  some of my questions 
 none 	yeah 
 none 	um 
 none 	yeah 
 none 	uh  this way and just slightly to the left  yeah 
 none 	the um  
 none 	what was   was this number forty or   it was roughly the same as this one  he said  when you had the two language versus the three language 
 none 	um 
 none 	that s what he was saying 
 none 	that s where he removed english  right 
 none 	yeah 
 none 	right 
 none 	it sometimes  actually  depends on what features you re using 
 none 	yeah 
 none 	but   but i  it sounds like  
 none 	um  but  
 none 	i mean  that s interesting because it   it seems like what it s saying is not so much that you got hurt uh because you uh didn t have so much representation of english  because in the other case you don t get hurt any more  at least when it seemed like uh it   it might simply be a case that you have something that is just much more diverse  but you have the same number of parameters representing it 
 none 	mm hmm 
 none 	mm hmm  i wonder   were um all three of these nets using the same output  this multi language uh labeling 
 none 	he  
 none 	mm hmm 
 none 	he was using uh sixty four phonemes from sampa 
 none 	o_k  o_k 
 none 	yeah 
 none 	so this would  
 none 	from this you would say   well  it doesn t really matter if we put finnish into the training of the neural net  if there s gonna be  you know  finnish in the test data   right 
 none 	well  it s   it sounds  
 none 	i mean  we have to be careful  cuz we haven t gotten a good result yet 
 none 	yeah 
 none 	and comparing different bad results can be tricky 
 none 	hmm 
 none 	but i   i   i  
 none 	i think it does suggest that it s not so much uh uh cross language as cross type of speech 
 none 	mm hmm 
 none 	it s   it s um  
 none 	but we did   oh yeah  the other thing i was asking him  though  is that i think that in the case  
 none 	yeah  you   you do have to be careful because of com  compounded results  i think we got some earlier results in which you trained on one language and tested on another and you didn t have three  but you just had one language  so you trained on one type of digits and tested on another  didn 
 none 	wasn t there something of that  where you  say  trained on spanish and tested on   on t_i digits  or the other way around 
 none 	something like that 
 none 	no 
 none 	i thought there was something like that  that he showed me last week 
 none 	we ll have to wait till we get  
 none 	yeah  that would be interesting 
 none 	um 
 none 	this may have been what i was asking before  stephane  but   but  um  wasn t there something that you did  where you trained on one language and tested on another 
 none 	i mean no   no mixture but just  
 none 	i ll get it for you 
 none 	uh  no  no 
 none 	we ve never just trained on one lang 
 none 	training on a single language  you mean  and testing on the other one 
 none 	yeah 
 none 	not yet 
 none 	uh  no 
 none 	so the only task that s similar to this is the training on two languages  and that  
 none 	but we ve done a bunch of things where we just trained on one language  right 
 none 	i mean  you haven t   you haven t done all your tests on multiple languages 
 none 	uh 
 none 	no 
 none 	either thi  this is test with uh the same language but from the broad data  or it s test with uh different languages also from the broad data  excluding the  
 none 	the early experiment that  
 none 	so  it s   it s three or   three and four 
 none 	did you do different languages from digits 
 none 	uh  no 
 none 	you mean training digits on one language and using the net to recognize on the other 
 none 	digits on another language 
 none 	no 
 none 	see  i thought you showed me something like that last week 
 none 	you had a   you had a little  
 none 	uh 
 none 	no  i don t think so 
 none 	um
 none 	what  
 none 	these numbers are uh ratio to baseline 
 none 	so  i mean wha  what s the   this   this chart   this table that we re looking at is um 
 none 	so 
 none 	show  is all testing for t_i  digits  or    
 none 	bigger is worse  this is error rate  i think 
 none 	so you have uh basically two uh parts  the upper part is for t_i digits and it s divided in three rows of four   four rows each 
 none 	ratio 
 none 	no  no 
 none 	yeah  yeah  yeah 
 none 	mm hmm 
 none 	yeah 
 none 	and the first four rows is well matched  then the s  the second group of four rows is mismatched  and finally highly mismatched 
 none 	and then the lower part is for italian and it s the same   the same thing 
 none 	so  so the upper part is training t_i digits 
 none 	so 
 none 	it s   it s the h_t_k results  i mean  so it s
 none 	h_t_k training testings with different kind of features and what appears in the uh left column is the networks that are used for doing this 
 none 	ah 
 none 	hmm 
 none 	so 
 none 	uh
 none 	yeah 
 none 	well 
 none 	what was is that i 
 open_agenda 	what was it that you had done last week when you showed   do you remember 
 none 	wh  when you showed me the   your table last week 
 none 	it  it was part of these results 
 none 	mmm 
 none 	mmm 
 none 	so where is the baseline for the t_i digits located in here 
 none 	you mean the h_t_k aurora baseline 
 none 	yeah 
 none 	it s uh the one hundred number 
 none 	it s  well  all these numbers are the ratio with respect to the baseline 
 none 	ah 
 none 	ah  o_k  o_k 
 none 	so this is word   word error rate  so a high number is bad 
 none 	yeah  this is a word error rate ratio 
 none 	yeah 
 none 	yeah 
 none 	o_k  i see 
 none 	so  seventy point two means that we reduced the error rate uh by thirty   thirty percent  so 
 none 	o_k  o_k  gotcha 
 none 	o_k  so if we take uh um let s see
 none 	hmm 
 none 	p_l_p uh with on line normalization and delta del  so that s this thing you have circled here in the second column  um and  multi english  refers to what 
 none 	yeah 
 none 	to timit 
 none 	mmm 
 none 	then you have uh m_f  m_s and m_e which are for french  spanish and english 
 none 	and  yeah 
 none 	actually i   i uh forgot to say that the multilingual net are trained on uh features without the s  derivatives uh but with increased frame numbers  mmm 
 none 	and we can   we can see on the first line of the table that it   it   it s slightly   slightly worse when we don t use delta but it s not   not that much 
 none 	right 
 none 	so w  w 
 none 	so  i m sorry  i missed that  what s m_f  m_s and m_e 
 none 	multi french  multi spanish
 none 	so  multi french  multi spanish  and multi english 
 none 	uh o_k  so  it s uh broader vocabulary 
 none 	yeah 
 none 	then  
 none 	and  
 none 	o_k so i think what i m   what i saw in your smaller chart that i was thinking of was   was there were some numbers i saw  i think  that included these multiple languages and it   and i was seeing that it got worse 
 none 	i   i think that was all it was  you had some very limited results that   at that point which showed having in these   these other languages  in fact it might have been just this last category  having two languages broad that were   where   where english was removed 
 none 	yeah 
 none 	so that was cross language and the   and the result was quite poor 
 none 	what i   we hadn t seen yet was that if you added in the english  it s still poor 
 none 	yeah  still poor 
 none 	uh
 none 	um now  what s the noise condition um of the training data  
 none 	well  i think this is what you were explaining  the noise condition is the same  
 none 	it s the same uh aurora noises uh  in all these cases for the training 
 none 	yeah 
 none 	yeah 
 none 	so there s not a statistical   sta  a strong st  statistically different noise characteristic between uh the training and test and yet we re seeing some kind of effect  
 none 	no these are the s  s  s  same noises  yeah 
 none 	at least   at least for the first   for the well matched  yeah 
 none 	well matched condition 
 none 	right 
 none 	so there s some kind of a   a   an effect from having these   uh this broader coverage um
